ArRId;ArRVersion;ArRCreated;ArRChanged;ArRName;ArRType;ArRXEpsg2154;ArRYEpsg2154;ArRTown;ArRPostalRegion;ArRAccessibility;ArRAudibleSignals;ArRVisualSigns;ArRFareZone;ZdAId;ArRGeopoint
490879;1595171-1722501;2024-02-09T13:56:36+01:00;2024-07-25T04:56:19+02:00;Anna de Noailles;tram;647057;6864064;Paris 16e;75116;true;true;true;1;490880;48.87442196108004, 2.278190660969331
24399;1591163-1722473;2014-12-29T00:00:00+01:00;2024-07-11T06:46:38+02:00;Porte de la Villette (Cité des Sciences et de l'industrie);tram;655018;6866562;Paris 19e;75119;true;true;true;1;44518;48.897490957291836, 2.386459229221149
490789;1533741-1569400;2024-01-24T08:32:34+01:00;2024-06-14T12:28:59+02:00;Montreuil - Hôpital;metro;660004;6864388;Montreuil;93048;true;true;true;3;490767;48.87826982923405, 2.4546692358364623
490849;1548176-1555983;2024-02-05T09:12:37+01:00;2024-06-14T12:22:49+02:00;Hôpital Bicêtre;metro;652266;6856849;Le Kremlin-Bicêtre;94043;true;true;true;2;490840;48.80994448104715, 2.3500149505295047
490839;1563311-1555983;2024-01-31T14:02:39+01:00;2024-06-14T12:22:37+02:00;Hôpital Bicêtre;metro;652261;6856852;Le Kremlin-Bicêtre;94043;true;true;true;2;490840;48.80997109071219, 2.3499465332391565
487014;1568697-1568701;2023-04-20T10:04:43+02:00;2024-04-24T11:33:36+02:00;Nanterre-La-Folie;rail;643292;6866679;Nanterre;92050;unknown;unknown;unknown;3;487011;48.89761694218825, 2.2265137043255105
487015;1568696-1568701;2023-04-20T10:04:44+02:00;2024-04-24T11:33:30+02:00;Nanterre-La-Folie;rail;643294;6866689;Nanterre;92050;unknown;unknown;unknown;3;487011;48.897707042790294, 2.226539646182536
487016;1568695-1568701;2023-04-20T10:04:45+02:00;2024-04-24T11:33:13+02:00;Nanterre-La-Folie;rail;643300;6866695;Nanterre;92050;unknown;unknown;unknown;3;487011;48.8977615259336, 2.2266206784177185
490878;1566551-1722500;2024-02-09T13:56:35+01:00;2024-04-11T14:16:40+02:00;Porte Dauphine (Avenue Foch);tram;646811;6863616;Paris 16e;75116;true;true;true;1;490877;48.87037296111051, 2.274893044078303
474064;1107326-1103225;2019-03-27T09:51:29+01:00;2024-04-11T08:09:37+02:00;Marne-la-Vallée - Chessy;rail;684021;6863360;Chessy;77111;unknown;unknown;unknown;5;43239;48.870068785054144, 2.7821679624072577
474042;1107238-1105608;2019-03-27T09:50:28+01:00;2024-04-11T08:09:37+02:00;Neuilly-Plaisance;rail;664382;6861503;Neuilly-Plaisance;93049;unknown;unknown;unknown;4;43172;48.85258214589076, 2.514601862962047
474002;1107086-47900;2019-03-27T09:48:45+01:00;2024-04-11T08:09:37+02:00;Val de Fontenay;rail;662498;6861691;Fontenay-sous-Bois;94033;unknown;unknown;unknown;3;47900;48.85416593129471, 2.4889110371019245
474014;1106642-1365030;2019-03-27T09:49:15+01:00;2024-04-11T08:09:37+02:00;Saint-Maur - Créteil;rail;661283;6856362;Saint-Maur-des-Fossés;94068;unknown;unknown;unknown;3;44801;48.8061691845382, 2.4728379695874314
473990;1107042-1782229;2019-03-27T09:48:13+01:00;2024-04-11T08:09:37+02:00;Châtelet - Les Halles;rail;652076;6862602;Paris 1er;75101;unknown;unknown;unknown;1;45102;48.86166751401732, 2.346779837722552
473975;1491195-1105883;2019-03-27T09:47:34+01:00;2024-04-11T08:09:37+02:00;Bures-sur-Yvette;rail;638511;6844344;Bures-sur-Yvette;91122;unknown;unknown;unknown;5;43103;48.69631539274705, 2.164529680339737
473974;1106987-1105536;2019-03-27T09:47:32+01:00;2024-04-11T08:09:37+02:00;Bry-sur-Marne;rail;665187;6860677;Bry-sur-Marne;94015;unknown;unknown;unknown;4;43101;48.8451978377996, 2.5256396687485885
473981;1107010-999521;2019-03-27T09:47:50+01:00;2024-04-11T08:09:37+02:00;Bagneux;rail;650208;6855023;Cachan;94016;unknown;unknown;unknown;3;44493;48.79336704196627, 2.322206317247307
473980;1107006-1103098;2019-03-27T09:47:48+01:00;2024-04-11T08:09:37+02:00;Antony;rail;648604;6850727;Antony;92002;unknown;unknown;unknown;3;43066;48.75460507615621, 2.300890732791075
473955;1106913-43124;2019-03-27T09:46:48+01:00;2024-04-11T08:09:37+02:00;Fontaine Michalon;rail;648230;6849439;Antony;92002;unknown;unknown;unknown;4;43124;48.74299129043368, 2.295959907247433
473950;1106893-1105548;2019-03-27T09:46:34+01:00;2024-04-11T08:09:37+02:00;Joinville-le-Pont;rail;660648;6858030;Joinville-le-Pont;94042;unknown;unknown;unknown;3;43135;48.82113164853357, 2.464038064115302
473966;1106957-1328390;2019-03-27T09:47:11+01:00;2024-04-11T08:09:37+02:00;Courcelle-sur-Yvette;rail;633589;6844954;Gif-sur-Yvette;91272;unknown;unknown;unknown;5;47052;48.70131450338252, 2.0975638104837837
473963;1106945-58270;2019-03-27T09:47:04+01:00;2024-04-11T08:09:37+02:00;Champigny;rail;664053;6856424;Saint-Maur-des-Fossés;94068;unknown;unknown;unknown;3;58270;48.806887144439955, 2.5105474354393014
473939;1480677-1119620;2019-03-27T09:46:05+01:00;2024-04-11T08:09:37+02:00;La Varenne - Chennevières;rail;664245;6855144;Saint-Maur-des-Fossés;94068;unknown;unknown;unknown;3;43146;48.79538616116512, 2.5132690602653955
473938;1480676-1119620;2019-03-27T09:46:03+01:00;2024-04-11T08:09:37+02:00;La Varenne - Chennevières;rail;664251;6855141;Saint-Maur-des-Fossés;94068;unknown;unknown;unknown;3;43146;48.79535951317607, 2.5133509875706244
473937;1106845-1801046;2019-03-27T09:46:01+01:00;2024-04-11T08:09:37+02:00;La Défense;rail;644155;6866012;Puteaux;92062;unknown;unknown;unknown;3;470549;48.89169440070616, 2.2383718729531186
473936;1106841-1801046;2019-03-27T09:45:59+01:00;2024-04-11T08:09:37+02:00;La Défense;rail;644146;6865997;Puteaux;92062;unknown;unknown;unknown;3;470549;48.891558732411546, 2.238251109765404
473931;1106821-1107763;2019-03-27T09:45:47+01:00;2024-04-11T08:09:37+02:00;Lozère;rail;642062;6845378;Palaiseau;91477;unknown;unknown;unknown;4;474069;48.705943348272505, 2.212634848880266
473944;1106871-1105548;2019-03-27T09:46:18+01:00;2024-04-11T08:09:37+02:00;Joinville-le-Pont;rail;660639;6858032;Joinville-le-Pont;94042;unknown;unknown;unknown;3;43135;48.821149085654916, 2.463915305767192
473940;1106857-47046;2019-03-27T09:46:07+01:00;2024-04-11T08:09:37+02:00;La Hacquinière;rail;637546;6844240;Bures-sur-Yvette;91122;unknown;unknown;unknown;5;47046;48.695287466485624, 2.1514341095048635
473912;1106745-1105837;2019-03-27T09:45:07+01:00;2024-04-11T08:09:37+02:00;Le Vésinet - Le Pecq;rail;635649;6866800;Le Vésinet;78650;unknown;unknown;unknown;4;43237;48.89798637977531, 2.122254375361319
473929;1480675-1119620;2019-03-27T09:45:43+01:00;2024-04-11T08:09:37+02:00;La Varenne - Chennevières;rail;664237;6855148;Saint-Maur-des-Fossés;94068;unknown;unknown;unknown;3;43146;48.79542169172883, 2.5131598237282273
473924;1106793-45873;2019-03-27T09:45:32+01:00;2024-04-11T08:09:37+02:00;Auber;rail;650829;6863792;Paris 9e;75109;unknown;unknown;unknown;1;45873;48.872274969421106, 2.329645918766417
473926;1106801-43607;2019-03-27T09:45:36+01:00;2024-04-11T08:09:37+02:00;Laplace;rail;651120;6856687;Arcueil;94003;unknown;unknown;unknown;2;43607;48.808401713913604, 2.334429404133252
473900;1106697-43234;2019-03-27T09:44:37+01:00;2024-04-11T08:09:37+02:00;Le Parc de Saint-Maur;rail;662287;6856264;Saint-Maur-des-Fossés;94068;unknown;unknown;unknown;3;43234;48.8053473292087, 2.4865164959477695
472921;1549504-1549501;2019-03-07T20:59:39+01:00;2024-02-09T13:10:01+01:00;Lavilletertre;rail;621335;6900823;Lavilletertre;60356;unknown;unknown;unknown;;411348;49.202288647174875, 1.9206909928938345
471969;1549503-1549501;2019-03-07T19:20:23+01:00;2024-02-09T13:09:53+01:00;Lavilletertre;rail;621326;6900823;Lavilletertre;60356;unknown;unknown;unknown;;411348;49.20228754118758, 1.9205675253923051
463057;1022156-1556867;2019-01-28T00:00:00+01:00;2023-11-22T18:44:34+01:00;Pointe du Lac;metro;660629;6852207;Créteil;94028;false;unknown;unknown;3;44453;48.76876136433039, 2.4643173127220415
483900;1390431-1569389;2022-05-09T20:50:35+02:00;2023-11-22T18:44:28+01:00;Aimé Césaire;metro;654417;6867784;Aubervilliers;93001;false;true;true;2;483901;48.908437580656, 2.3781308451670595
486841;1491365-1462140;2023-03-03T09:17:01+01:00;2023-08-10T09:13:28+02:00;La Croix de Berny;tram;648764;6851624;Antony;92002;true;unknown;unknown;3;486835;48.762685090548956, 2.302959299938301
486812;1491338-1716409;2023-03-03T09:16:35+01:00;2023-08-10T08:51:04+02:00;Hôpital Béclère;tram;645134;6854385;Clamart;92023;true;unknown;unknown;3;47746;48.78721762812308, 2.2532225449568815
